View,Metablock,Subblock,TrialInBlock,Action,Location
Direct,1,1,1,Touch,Right
Direct,1,1,2,Touch,Right
Direct,1,1,3,Touch,Left
Direct,1,1,4,Touch,Right
Direct,1,1,5,Touch,Left
Direct,1,1,6,Touch,Left
Direct,1,2,1,WholeHand,Right
Direct,1,2,2,WholeHand,Left
Direct,1,2,3,WholeHand,Right
Direct,1,2,4,WholeHand,Left
Direct,1,2,5,WholeHand,Right
Direct,1,2,6,WholeHand,Left
Direct,1,3,1,Precision,Left
Direct,1,3,2,Precision,Right
Direct,1,3,3,Precision,Right
Direct,1,3,4,Precision,Right
Direct,1,3,5,Precision,Left
Direct,1,3,6,Precision,Left
Direct,2,1,1,Precision,Right
Direct,2,1,2,Precision,Left
Direct,2,1,3,Precision,Left
Direct,2,1,4,Precision,Right
Direct,2,1,5,Precision,Left
Direct,2,1,6,Precision,Right
Direct,2,2,1,WholeHand,Left
Direct,2,2,2,WholeHand,Right
Direct,2,2,3,WholeHand,Left
Direct,2,2,4,WholeHand,Right
Direct,2,2,5,WholeHand,Right
Direct,2,2,6,WholeHand,Left
Direct,2,3,1,Touch,Left
Direct,2,3,2,Touch,Left
Direct,2,3,3,Touch,Right
Direct,2,3,4,Touch,Right
Direct,2,3,5,Touch,Right
Direct,2,3,6,Touch,Left
Direct,3,1,1,Precision,Left
Direct,3,1,2,Precision,Right
Direct,3,1,3,Precision,Right
Direct,3,1,4,Precision,Left
Direct,3,1,5,Precision,Right
Direct,3,1,6,Precision,Left
Direct,3,2,1,Touch,Right
Direct,3,2,2,Touch,Left
Direct,3,2,3,Touch,Right
Direct,3,2,4,Touch,Left
Direct,3,2,5,Touch,Left
Direct,3,2,6,Touch,Right
Direct,3,3,1,WholeHand,Left
Direct,3,3,2,WholeHand,Left
Direct,3,3,3,WholeHand,Right
Direct,3,3,4,WholeHand,Right
Direct,3,3,5,WholeHand,Left
Direct,3,3,6,WholeHand,Right
Direct,4,1,1,Touch,Left
Direct,4,1,2,Touch,Right
Direct,4,1,3,Touch,Left
Direct,4,1,4,Touch,Left
Direct,4,1,5,Touch,Right
Direct,4,1,6,Touch,Right
Direct,4,2,1,Precision,Right
Direct,4,2,2,Precision,Left
Direct,4,2,3,Precision,Right
Direct,4,2,4,Precision,Right
Direct,4,2,5,Precision,Left
Direct,4,2,6,Precision,Left
Direct,4,3,1,WholeHand,Left
Direct,4,3,2,WholeHand,Right
Direct,4,3,3,WholeHand,Right
Direct,4,3,4,WholeHand,Left
Direct,4,3,5,WholeHand,Left
Direct,4,3,6,WholeHand,Right
Direct,5,1,1,WholeHand,Right
Direct,5,1,2,WholeHand,Left
Direct,5,1,3,WholeHand,Left
Direct,5,1,4,WholeHand,Left
Direct,5,1,5,WholeHand,Right
Direct,5,1,6,WholeHand,Right
Direct,5,2,1,Precision,Right
Direct,5,2,2,Precision,Right
Direct,5,2,3,Precision,Left
Direct,5,2,4,Precision,Left
Direct,5,2,5,Precision,Left
Direct,5,2,6,Precision,Right
Direct,5,3,1,Touch,Left
Direct,5,3,2,Touch,Left
Direct,5,3,3,Touch,Right
Direct,5,3,4,Touch,Left
Direct,5,3,5,Touch,Right
Direct,5,3,6,Touch,Right
Direct,6,1,1,WholeHand,Right
Direct,6,1,2,WholeHand,Right
Direct,6,1,3,WholeHand,Left
Direct,6,1,4,WholeHand,Left
Direct,6,1,5,WholeHand,Right
Direct,6,1,6,WholeHand,Left
Direct,6,2,1,Touch,Left
Direct,6,2,2,Touch,Right
Direct,6,2,3,Touch,Left
Direct,6,2,4,Touch,Right
Direct,6,2,5,Touch,Left
Direct,6,2,6,Touch,Right
Direct,6,3,1,Precision,Right
Direct,6,3,2,Precision,Left
Direct,6,3,3,Precision,Left
Direct,6,3,4,Precision,Right
Direct,6,3,5,Precision,Right
Direct,6,3,6,Precision,Left
